3117.txt,Although the prostate part can be roughly determined according to the prostate-likelihood map.,according to
3119.txt,"Our method, multi-atlases based label fusion, takes the advantages of the patientspecific prostate shape information to guide better segmentation.",takes the advantages of
3120.txt,"The manual specification, which needs only a few seconds, can guide better prostate segmentation.",null
3121.txt,"However, inaccurate manual specification sometimes happens due to various reasons  , especially for the inexperienced radiation oncologists.",due to
3122.txt,"In this subsection, we will experimentally investigate the sensitivity of our method with respect to inaccurate manual specification.",with respect to
3124.txt,"In all the 24 patients,it is found that patients 3, 10 and 15 have large prostate motions according to the calculated standard deviation of prostate centers in the planning and treatment images, which can be found by referring to Fig.15.",it is found that
3125.txt,"By applying the proposed method to patients 3, 10 and 15, the obtained mean Dice ratio are 0.909, 0.928, 0.946 by OF+SCOTO, and 0.920, 0.934, 0.946 by CF+SCOTO, respectively, which are better than the corresponding results reported in X.",better than
3126.txt,The comparisons are also listed in Fig.16.,are also listed in
3127.txt,These results show the effectiveness of the proposed method in incorporating the manual specification from radiation oncologist when large irregular motion occurs in the prostate regions.,the effectiveness of
3128.txt,"We now further compare the proposed method with several stateof-the-art methods for prostate segmentation in CT images developed in recent years, which include deformable-model based methods  , registration-based methods , and learning-based method.",compare with
3129.txt,The best results reported in the corresponding literatures are adopted for comparison in this section.,are adopted for
3130.txt,The comparisons among different methods are listed in Table.IV.,are listed in
3131.txt,The results obtained not on the same CT dataset are listed separately.,null
3132.txt,"Evaluated metrics include mean Dice ratio, mean ASD, and median TPF  .",null
3134.txt,"For X, all the 24 patients are evaluated, which is the same with ours, so we call the 24 patients CT dataset as CT dataset 1.",is the same with
3135.txt,"Also, two different subsets of the 24 patients are selected in X, which are called as CT dataset 2 and CT dataset 3, respectively.",are selected in
3138.txt,"These results demonstrated that the proposed methods outperform the related methods in terms of higher mean Dice ratio, median TPF, and mean ASD.",These results demonstrated that
3139.txt,"Also, we can observe that learning-based segmentation methods are generally better than non-learning-based ones, since voxel-level regression/classification might be more useful to discover the local detail information, e.g., the slight boundary change in different treatment days.",be more useful to
3140.txt,We also report the box-and-whisker diagram of Dice ratio in  Fig.17 for each individual patient.,null
3141.txt,"For statistical perspective, quartile- representation is adopted, in which five horizontal lines   mean the min, 25% percentile, median, 75% percentile, and the max value, respectively.",null
3142.txt,"Fig.17 shows the result  of OF+SCOTO, and Fig.17 shows the result of CF+SCOTO.",the result  of
3143.txt,"we use the red curves to denote the manual segmentation results by the radiation oncologist, and the yellow curves to denote the segmentation results by the proposed methods.",null
3144.txt,It can be observed that the predicted prostate boundaries are very close to the boundaries delineated by the radiation oncologist.,It can be observed that
3145.txt,"Also the proposed method can accurately separate the prostate regions and background even in the base and apex slices as shown in Fig.18,which are usually considered very difficult to segment.",as shown in
3146.txt,Our method can be extended to many similar segmentation tasks as detailed below.,be extended to
3147.txt,"For feature representation using coupled features, it can be directly extended to the similar segmentation applications,of which features are usually not i.i.d., but related with others.",it can be directly extended to
3148.txt,"For SCOTO, as a feature selection method, it can be used in many applications, especially for medical image segmentation, of which the local regions are usually spatially connected.",it can be used in
3149.txt,"For multi-atlases based label fusion, it can be also utilized in many  related segmentation tasks, of which the previous scanned data with segmentation results can be borrowed as references for segmentation of future images.",it can be also utilized in
3150.txt,it is known that many TV methods have already been successfully used in many tasks .,it is known that
3151.txt,"However, the major difference between SCOTO and TV methods is that, most of TV methods currently focus on the 1-D task , while our problem focuses on the 2-D task.",focus on
3152.txt,"Also, according to very recent study, it shows that 2-D TV can obtain superior results but always with very high complexity.",according to
3153.txt,"On the other hand, as for the relations between SCOTO and overlapping group sparsity methods.",On the other hand
3154.txt,"The major challenge is that, due to large appearance change and irregular prostate motion, it is very difficult and even infeasible to design specific grouping methods for each individual slice.",it is very difficult
3155.txt,"our method can be treated as an overlapping group sparsity methods, with very simple and general assumption , and can be adopted to other similar tasks.",be treated as
3156.txt,"Finally, it is very challenging to develop automatic methods for localizing the start and ending slices of prostate region according  to our empirical analysis and experimental evaluation, as explained below.",it is very challenging to
3158.txt,"Basically, for the same patient, the start and ending slices of the prostate could change up to 10 voxel  across different treatment days even after rigid registration with pelvic bone structures.",null
3159.txt,Non-prostate and prostate regions   are extremely similar in the start  slices.,are extremely similar in
3160.txt,Many state-of- the-art  methods  cannot  perform  well  in  those  regions.,perform  well  in
3163.txt,"Thus, it is hard to predict the start and ending slices with only 3-5 training images, especially for the case that CT images have poor tissue contrast.",it is hard to
3164.txt,"Therefore, automatic localization of the start and ending slices is commonly considered as the most difficult part in prostate segmentation.",considered as
3165.txt,"In this article, our goal is mainly to incorporate the radiation to determine the most difficult part, and then utilize our method for the subsequent segmentation.",our goal is mainly to
3166.txt,"In this article, we have presented a novel semi-automatic learning method for prostate segmentation in CT images during the image-guided radiotherapy.",null
3167.txt,Previous methods directly employ the low-level features without considering the relations of these features.,null
3168.txt,"Also, previous methods usually ignore the image appearance changing in different local regions of CT images during the feature selection step.",null
3170.txt,"In our method, we first ask the radiation oncologist to spend a   few seconds for the simple specification of ending slices on the current treatment image.",null
3171.txt,The coupled feature representation is then employed by using both the intra- and inter-coupling information from low-level original features.,employed by
3172.txt,"Our proposed SCOTO is further used to simultaneously select the discriminative features for different local regions, for helping estimate the prostate-likelihood  map.",used to
3173.txt,"Finally, the multi-atlases based label fusion method is used to combine the segmentation results of the planning and previous treatment images for final segmentation.",is used to
3174.txt,"We extensively evaluate our method on a CT prostate dataset, which consists of 24 patients with totally 330 images, all along with manual delineation results by the experienced radiation oncologist  .",consists of
3175.txt,Experimental results show that our proposed method not only obtains superior segmentation performance compared with the state-of-the-art methods.,Experimental results show that
3176.txt,"Moreover, several experiments also separately validate the advantages of using coupled feature representation,
SCOTO and the multi-atlases based label fusion.",the advantages of
3177.txt,"In our future work, more advanced features and more intelligent way will be investigated to further improve the current work.",be investigated to
3179.txt,These methods typically map image features to continuous or discrete  values.,null
3180.txt,"A major drawback of existing discriminative methods is that samples are directly projected onto a subspace and hence fail to account for outliers common in realistic training sets due to occlusion, specular reflections or noise.",fail to
3181.txt,It is important to notice that existing discriminative approaches assume the input variables X to be noise free.,It is important to
3182.txt,"Thus, discriminative methods experience significant performance degradation when gross outliers are present.",null
3183.txt,"Despite its obvious importance, the problem of robust discriminative learning has been relatively unexplored in computer vision.",been relatively unexplored in
3184.txt,This paper develops the theory of Robust Regression and presents an effective convex approach that uses recent advances on rank minimization.,presents an effective convex approach
3185.txt,"The framework applies to a variety of problems in computer vision including robust linear discriminant analysis, regression with missing data, and multi-label classification.",applies to
3187.txt,Discriminative methods  have been successfully applied to many computer vision problems.,applied to
3188.txt,"Unlike generative approaches that produce a probability density over all variables, discriminative approaches directly attempt to compute the input to output mappings for classification or regression.",attempt to
3189.txt,"Typically, discriminative models achieve better performance in classification tasks, especially when large amounts of training data are available.",achieve better performance in
3190.txt,"However, discriminative approaches often lack mathematically principled ways to incorporate priors.",null
3191.txt,Linear and non-linear regression have been applied to solve a number of computer vision problems .,been applied to
3192.txt,"Although widely used, a major drawback of existing regression approaches is their lack of robustness to outliers and noise, which are common in realistic training sets due to occlusion, specular reflections or image noise.",are common in
3193.txt,"To better understand the lack of robustness, we consider the problem of learning a linear regressor from image features X to pose angles Y  by minimizing see footnote1 for an explanation of the notation used in this work.",for an explanation of
3195.txt,This is the well known GaussMarkov theorem  .,This is the well known
3197.txt,It is important to notice that in training and testing X is assumed to be noise free.,It is important to
3198.txt,"However, a single outlier in either training or testing can bias the projection because LS projects the data directly onto the subspace of T.",null
3199.txt,"The problem of robustness in regression has been studied thoroughly in statistics, and the last decades have witnessed a fast paced development of the socalled robust methods.",have witnessed a fast paced development of
3200.txt,"For instance, M-estimators assume the error has a heavy tail  and typically re-weight the whole sample inversely.",For instance
3201.txt,"That is, some robust approaches minimize a weighted regression where wi weighs the whole sample.",null
3202.txt,Other robust approaches replace the sum by a more robust measure such as  the  median   or trimmed mean.,such as
3203.txt,"However, all of the aforementioned traditional robust approaches for regression differ from the problem addressed in this paper in two ways.",differ from
3204.txt,This work proposes an intra-sample robust regression method that explicitly accounts for outliers in X.,accounts for
3205.txt,"However, unlike existing EIV models, RR does not require a prior estimate of the noise and all parameters are automatically estimated.",require a prior estimate of
3206.txt,"In addition to reducing the influence of noise and outliers in regression, we extend RR to be  able  to deal with missing data in regression, wherein some elements of X are unknown.",In addition to
3207.txt,"This is a common issue in computer vision applications, since unknown elements typically correspond to unobserved local image features.",This is a common issue in
3208.txt,"Surprisingly, this problem has been relatively unexplored in the computer vision literature.",been relatively unexplored in
3209.txt,"We illustrate the power of RR in several computer vision tasks including head pose estimation from images, facial attribute detection with missing data and robust LDA for multi-label image classification.",null
3210.txt,"Huber introduced M-estimation for regression, providing robustness to sample outliers.",null
3211.txt,"Rousseeuw and Leroy proposed Least Trimmed Squares, which explicitly finds a data subset that minimizes the squared residual sum.",null
3212.txt,"Parallel to developments in the statistics community, the idea of subset selection has also flourished in many computer vision applications.",has also flourished in
3213.txt,Consensus approaches such as RANSAC and M-estimator variants randomly subsample input data to construct a tentative model.,such as
3214.txt,Model parameters are updated when a new configuration produces smaller inlier error than its predecessors.,null
3215.txt,"In spite of accurate parameter estimates, even in the presence of several outliers, these methods heavily rely on the assumption that model generation from a data subset is computationally inexpensive and inlier detection can be done  adequately.",In spite of
3216.txt,"Moreover, the aforementioned methods do not tackle intra-sample outliers, i.e., partial sample corruptions.",null
3217.txt,"To deal with noise in the variables, Error-In-Variable   approaches have been  proposed,  see     for  an overview.",To deal with
3218.txt,"However, existing EIV approaches rely on strong parametric assumptions for the errors.",rely on
3219.txt,"For instance, orthogonal regression assumes that the variance of errors in the input and response variables are identical or their ratio is known .",For instance
3220.txt,"Under these assumptions, orthogonal regression can minimize the Gaussian error orthogonal to the learned regression vectors.",null
3223.txt,"Moment-based methods learn the regression by estimating high-order statistics, i.e., moments, from i.i.d.",null
3225.txt,"Likelihood-based methods  learn a reliable regression when the input and response variables follow a joint, normal and identical distribution.",null
3226.txt,Total Least Square and its nonlinear generalization solve for additive/multiple terms that enforce the correlation between the input and response variables.,null
3227.txt,TLS-based methods relax the assumption in previous methods to allow correlated and non-identically distributed errors.,null
3228.txt,"Nevertheless, they still rely on parametric assumptions on the error.",rely on
3229.txt,"Unfortunately, in typical computer vision applications, errors caused by occlusion, shadow and edges seldom fit such distributions.",null
3230.txt,"Although regression and classification are singlehandled by our framework, several authors have addressed solely the issue of robust classification.",null
3232.txt,"In machine learning, several authors have proposed a worst-case FDA/LDA by minimizing the upper bound of the LDA cost function to increase the separation ability between classes under unbalanced sampling.",null
3233.txt,"As in previous work on robust regression, these methods are only robust to sample-outliers.",null
3234.txt,Our work is more related to recent work in computer vision.,is more related to
3235.txt,Fidler and Leonardis   robustify LDA for intra-sample outliers.,null
3236.txt,"In the training stage, computed PCA on the training data, replaced the minor PCA components by a robustly estimated basis, and combined the two basis into a new one.",null
3237.txt,"Then,the data was projected onto the combined basis and LDA is computed.",was projected onto
3238.txt,"During testing, first estimates the coefficients of a test data on  the  recombined  basis by sub-sampling the data elements using X.",null
3239.txt,"Finally, the class label of the test data is determined by applying learned LDA on the estimated coefficients.",is determined by
3240.txt,"Although outliers outside of the PCA subspace can  be suppressed,does not address the problem of learning LDA with outliers in the PCA subspace of the training data.",address the problem of
3241.txt,Zhu and Martinez  proposed learning a SVM with missing data and robust to outliers.,null
3242.txt,"In X, the possible values for missing elements are modeled by a Gaussian distribution, and such that for each class, the input data with all possible missing elements spans an affine subspace.",null
3243.txt,The decision plane of the robustified SVM jointly maximizes the betweenclass margin while minimizing the angle between the decision plane and the class-wise affine subspaces.,between and
3244.txt,"However,X requires the  location  of  the  outliers to be known.",null
3245.txt,"In contrast to previous works, our RR enjoys several advantage.",In contrast to
3246.txt,Our work is inspired by existing work in robust PCA   and its recent advances due to rank minimization procedures .,is inspired by
3247.txt,These methods model data as the sum of a low-rank clean data component with an arbitrary large and sparse outlier matrix.,null
3251.txt,A major advantage of this approach is the convex formulation.,A major advantage of
3252.txt,"This approach has been extended to other problems such as background modeling and shadow removal, however, were originally devised with tasks such as dimensionality reduction or matrix completion in mind, which are unsupervised in nature.",such as
3253.txt,"In this paper, we will further extend the approach to detect intra-sample outliers in robust regression, and illustrate several applications in computer vision.",we will further extend the approach to
3254.txt,"It is important to notice that RR is different from cleaning the data using RPCA and then computing LS-regression on the clean data, because RR  cleans the input data X = D + E in a supervised manner.",It is important to
3255.txt,"For this reason, the outlier component E computed by RR is able to correct outliers both inside and outside the subspace spanned by D  .",is able to
3256.txt,"The original  form of RR,  is cumbersome to solve because the rank and cardinality operators  are discontinuous and non-convex.",null
3260.txt,The goal is then to learn a mapping from X to labels  indicating  the  class  membership  of the data points.,null
3261.txt,"LDA learns a linear transformation that maximizes inter-class separation while minimizing intra-class variance, and typical solutions are based on solving a generalized eigenvalue problem",are based on
3262.txt,"While there are several approaches to solve the small sample size problem , a more fundamental solution is to relate the LDA problem to a reduced-rank LS problem.",there are several approaches to
3263.txt,LS-LDA directly maps X to the class labels by minimizing.,null
3266.txt,"From now on, we will refer to this problem as""RRMissing"".",refer to
3267.txt,This section compares our RR methods against stateof-the-art approaches on four experiments for regression and classification.,null
3268.txt,The first experiment uses synthetic data to compare with existing approaches and illustrate how existing robust regression methods cannot remove outliers that lie in the subspace of the data.,null
3269.txt,The second experiment applies RR to the problem of head pose estimation from partially corrupted images.,null
3270.txt,"The third experiment reports comparisons of RR against state-of-the-art multi-label classification algorithms on the MSRC, Mediamill and TRECVID2011 databases.",null
3271.txt,"We compared our RR with five state-of-the-art methods: Standard least-squares regression ,GroupLasso ,  RANSAC ,  Total Least Square  that assumes the error in the data is additive and follows a Gaussian distribution.",compared with
3272.txt,The LSR learns directly the regression matrix T using the data X.,null
3273.txt,The other methods  re-weight the data or select a subset of the samples input data X before learning the regression.,null
3274.txt,We randomly  select 100 samples for training and the remaining 100 data points for testing.,null
3275.txt,Both the training and testing sets contain half of the corrupted samples.,null
3276.txt,Fig.2 visualizes the results of the regression for the different methods.,the results of
3278.txt,"Fig.2 shows the results of TX, once T is learned with GLasso.",the results of
3279.txt,"GLasso learns  a sparse regression matrix that re-weights the input data along dimensions, but it is unable to handle within sample outliers.",it is unable to
3280.txt,Observe how the samples are far away from the original clean samples.,are far away from
3283.txt,"Although we selected RANSAC parameters to obtain the best testing error, many of the corrupted data points are still identified as inliers.",are still identified as
3284.txt,"Fig.2 shows results obtained by TLS, where TLS only partially cleaned the corrupted data because the synthesized error cannot be modeled by an isotropic Gaussian distribution.",null
3287.txt,"Because  DRP CA is computed in an unsupervised manner, only the out- of-subspace error  can be discarded, while the in-subspace outliers can not be corrected.",null
3290.txt,Observe that our approach is able to clean both the in-subspace outliers and out-of-subspace.,is able to
3291.txt,This is because our method computes jointly the regression and the subspace estimation.,This is because
3292.txt,we have compared RR with five methods to learn a regression from the image X to the yaw angle Y.,compared with
3293.txt,"For a fair comparison, we randomly divided the 249 subjects into 5 folds and performed 5-fold crossvalidation, at each cross-validation train on 1 fold  and test on the remaining 4.",null
3294.txt,Parameters of interest in methods (2)-(4) were selected by performing grid search over the 5-fold cross-validation.,null
3295.txt,The performance of the compared methods is measured with the averaged angle error.,The performance of
3296.txt,Table  2  summarizes  the  results  of  methods  (1)-(4)and RR.,null
3297.txt,The LSR method produced the largest angle error with the increasing percentage of outliers.,null
3298.txt,"RANSAC produced comparable error as standard LSR,  indicating  that  RANSAC  is  unable  to  select a subset of ""inliers"" to robustly estimate the regression matrix.",is  unable  to
3299.txt,RPCA+LSR produced relatively larger yaw angle error.,null
3300.txt,This is because RPCA is unsupervised and lacks the ability to preserve the discriminative information in X that correlates with the angles Y.,This is because
3302.txt,"There are over 4000 frontal face images of 126 subjects under illumination change, expressions, and facial disguises.",null
3303.txt,Observe that SRC produced little outliers.,null
3304.txt,"This is because both the training and testing images of the same subject contain similar expression, illumination, glasses and scarf.",This is because
3308.txt,"Note different to SRC, our RLDA approach used the cleaned training images D instead of the original training images X.",null
3309.txt,We can see from Fig.5 that RLDA cleaned more intra-sample outliers and reconstruct more facial details than SRC.,null
3310.txt,"In Table 3, we compared face recognition accuracy of linear SVM, SRC and RLDA using the both the downsampled images and the Laplacian face as classification features.",null
3311.txt,"As shown  in  the  first  row  in Table 3 , RLDA produced the higher  accuracy  than SRC and SVM on downsampled images, and comparable accuracy to SRC on Laplacian features.",produced the higher  accuracy
3313.txt,"Furthermore, because the Laplacian features were not computed in the robust manner, under high corruptions , the results with Laplancian features were worse than RLDA with the downsampled images.",null
3314.txt,"Comparing to SVM and SRC, RLDA showed the best robustness for it consistently produced the best results.",Comparing to
3315.txt,"This section evaluates our Robust LDA   method on two multi-label and one multi-class classification tasks: object categorization on the MSRC dataset, action recognition in the MediaMill dataset and event video indexing on the TRECVID 2011 dataset.",null
3316.txt,"Each dataset corpus and features is described below:591 photographs  distributed among 21 classes, with an average of 3 classes per image.",with an average of
3317.txt,We mimic   and divide each image into an grid and calculate the first and second order moments for each color channel on each grid in the RGB space.,null
3318.txt,Mediamill Dataset  consists of 43907 sub-shots divided in 101 classes.,consists of
3319.txt,"We followed   and eliminated classes  containing less than 1000 samples, leaving 27 classes.",null
3320.txt,"Then, we randomly selected 2609 sub-shots such that each class has at least 100 labeled data points.",at least
3321.txt,"Each image was therefore characterized by a 120-dimensional feature vector, as described in X.",as described in
3322.txt,"We used state of the art features obtained from Overfeat, a Convolutional Neural Network trained on ImageNet  .",null
3323.txt,We rescaled every image to pixels and obtained  a single 4096 dimensional feature vector as the output from layer 22 of the network for every image in the dataset.,null
3324.txt,"TRECVID 2011 Dataset  4 consists of video data in MED 2010 and the development data  of MED 2011, totaling 9822 video clips belonging exclusively to one of 18 classes.",null
3325.txt,We  first  detected  100 shots for each video and then used their center frames as keyframes.,null
3326.txt,We described each keyframe using dense SIFT descriptors.,null
3327.txt,"From these, we learned a 4096 dimension Bag-of-Words dictionary.",null
3328.txt,Each video was represented by a normalized histogram of all of its feature points.,was represented by
3329.txt,"We used a 300 core cluster to extract the SIFT features, which took about 1500 CPU hours in total.",null
3330.txt,"In the experiment, we randomly split the dataset into two subsets: 3122 entries for training and 6678 for testing.",null
3331.txt,"We compared RLDA to the state of the art approach for Multi-Label LDA    , and to  Robust  PCA followed by traditional LDA.",compared to
3332.txt,"For control, we also compare to LDA, PCA+LDA .",compare to
3333.txt,"finally, we select the class label from the class labels of k-neighbors by majority voting.",null
3335.txt,"For these reasons, we use Area Under Receiver Operating Characteristic  as our evaluation metric.",null
3336.txt,AUROC summarizes the cost/benifit ratio over all possible classification thresholds.,null
3337.txt,We report the average AUROC for each method under their  best parameters in Table 4.,null
3339.txt,SVM performs better than PCA+LDA and RPCA+LDA.,better than
3340.txt,Our method leads to significant improvements over the others due to its joint classification and data cleaning .,leads to
3341.txt,"For Mediamill, LDA is just slightly worse than PCA+LDA and RPCA+LDA due to the low noise level in the data.",due to
3342.txt,"In this case, RLDA does not ""over-clean"" the data, and performs similar to PCA+LDA and RPCA+LDA.",similar to
3343.txt,"In the PASCAL VOC 2007 dataset results, performance increases become less accentuated, with baseline methods yielding good performance due to the recent advances in representation provided by Overfeat.",due to
3344.txt,"MLDA, on the other hand, results  in a poorer score because it heavily relies on the normalization based on inter-class correlations.",on the other hand
3345.txt,"To test our method in a  large  scale  dataset,  we run experiments on the TRECVID2011 dataset.",null
3346.txt,"We used the Minimum Normalized Detection Cost, the evaluation criteria for MED 2010 and MED 2011 challenges, as suggested by NIST.",as suggested by
3349.txt,"Note because the classes are mutually exclusive, MLDA is identical to LDA.",is identical to
3350.txt,"SVM is heavily affected by  outliers for the ""Wedding Ceremony"", ""Getting a vehicle unstuck"" and ""Making a sandwich"" cases.",is heavily affected by
3351.txt,"For some classes, LDA and RPCA+LDA are similar or better than RLDA.",better than
3352.txt,We  believe  this  is  due  to:  the data features computed by Bag-of-Words model smoothed/regularized some outliers; the nonlinear nature of the classification task.,due  to
3353.txt,Therefore some error patterns modeled by LDA and RPCA enhanced their discriminative ability.,null
3354.txt,"Nevertheless, among all linear algorithms, our method  obtains the best average MinNDC.",null
3355.txt,"In addition, to show how nonlinearity affects the performances, we compared the kernelized version of the LDA , RPCA+LDA and RLDA .",In addition
3357.txt,Other more accurate approximations are possible  .,null
3360.txt,"To train our facial attribute detector, we used training images from the PubFig database that have been labeled with 49 landmarks and images from Multi-PIE database that have been labeled with 68 landmark points.",null
3361.txt,This is a challenging problem because the regressor will have input features of different dimensions.,This is a challenging problem because
3362.txt,In this section we will show how RR is able to merge information from these two databases to get improved results on estimating facial attributes.,is able to
3363.txt,The PubFig database consists of 58797 images of 200 people collected from the internet.,consists of
3364.txt,Classifiers will be trained to recognize these facial attributes from image features.,null
3365.txt,The images in the PubFig database are taken in completely uncontrolled situations with noncooperative subjects.,null
3366.txt,"Thus, there are large variations in pose, lighting, expression, occlusion, scene and camera parameters.",there are large variations in
3367.txt,These imaging conditions pose great difficulties in classifying the facial attributes.,pose great difficulties in
3368.txt,"Besides the PubFig database, we also used 5683 face images from the Multi-PIE database.",null
3370.txt,"First, we used the supervised descent method to detect 49 facial landmarks in the PubFig database.",null
3371.txt,"Second, we compute a 8-dimensional Histogram of Gradient  vector around each facial point.",null
3372.txt,"As a baseline experiment, we applied the RLDA proposed in section 3.1, using only data from the PubFig database.",null
3374.txt,"At each trial of cross-validation we left one fold out for testing, and the rest three folds for training.",null
3375.txt,The averaged AUROCs over 4-fold cross-validation are reported at the optimal parameters.,are reported at
3376.txt,We added data from MultiPIE database to conduct a"PubFig&MultiPIE" experiment.,null
3378.txt,"Finally in testing, we only used the PubFig part of ""D"" to clean the testing data.",null
3379.txt,All quantitative results are shown in Table.,are shown in
3381.txt,"In addition to the ""PubFig only"" baseline, we added one more baseline ""PubFig (49pts)&MPIE (49pts)"" by using features from the 49pts that are common to both datasets.",In addition to
3382.txt,"We also implemented the discriminatively trained LDA for missing data in X, a standard LDA-based approach for missing data.",null
3383.txt,"The approach used the same missing training data as RLDA-missing, and the results were reported in Table.",were reported in
3385.txt,"Comparing to the two baseline methods, our RLDAmissing approach have additional 52-dimensional features learned from the MultiPIE data.",Comparing to
3386.txt,"Comparing to ""LDA-missing"" , our approach does not rely on explicit assumption on the missing values.",Comparing to
3387.txt,"""LDA-missing"" explicitly models the missing values by Gaussian distribution, whereas the missing elements in this experiment are structured.",null
3389.txt,our RLDA-missing produced improved results in both class-wise and average AUROCs.,improved results in
3390.txt,"This paper addressed the problem of robust discriminative learning, and presented a convex formulation for RR.",null
3391.txt,"Our approach jointly learns a regression, while removing the outliers that are not correlated with labels or regression outputs.",correlated with
3392.txt,"The framework of RR is useful to solve problems such as robust LDA, multilabeled image classification and regression with missing data.",is useful to
3393.txt,"We illustrated the benefits of RR in several computer vision problems including facial attribute detection, head pose estimation, and image/video classification.",null
3394.txt,"We show that by removing outliers, our methods consistently learn better representations and outperform state-of-the-art methods in both the linear and kernel spaces  .",both and
3395.txt,"Finally, our approach is general and can be easily applied to robustify other subspace methods such as  partial least square or canonical correlation analysis.",such as
3396.txt,It is often expensive and time consuming to collect labeled training samples in many real-world applications.,It is often expensive and time consuming to
3397.txt,"To reduce human effort on annotating training samples, many machine learning techniques  have been studied to exploit weakly labeled training samples.",null
3398.txt,"Meanwhile, when the training data is represented with multiple types of features, many multi-view learning methods have shown that classifiers trained on different views can help each other to better utilize the unlabeled training samples for the SSL task.",is represented with
3399.txt,"In this paper, we study a new learning problem called multi-view weakly labeled learning, in which we aim to develop a unified approach to learn robust classifiers by effectively utilizing different types of weakly labeled multi-view data from a broad range of tasks including SSL, MIL and relative outlier detection.",aim to
3400.txt,We propose an effective approach called co-labeling to solve the multi-view weakly labeled learning problem.,null
3401.txt,"Specifically, we model the learning problem on each view as a weakly labeled learning problem, which aims to learn an optimal classifier from a set of pseudo-label vectors generated by using the classifiers trained from other views.",aims to
3402.txt,"Unlike traditional co-training approaches using a single pseudo-label vector for training each classifier, our co-labeling approach explores different strategies to utilize the predictions from different views, biases and iterations for generating the pseudo-label vectors, making our approach more robust for real-world applications.",null
3403.txt,"Moreover, to further improve the weakly labeled learning on each view, we also exploit the inherent group structure in the pseudo-label vectors generated from different strategies, which leads to a new multi-layer multiple kernel learning problem.",leads to
3404.txt,"In many real-world applications, it is often expensive and time consuming to collect labeled training samples.",it is often expensive and time consuming to
3405.txt,"In recent decades, researchers have been exploiting various learning scenarios for utilizing weakly labeled samples to reduce human effort on manually labeling the training samples.",reduce effort on
3406.txt,"For example, in semi-supervised learning,  the  training  data  consists of a limited number of labeled training samples and  a  large number of unlabeled training samples.",For example
3407.txt,"Similarly, in multi-instance learning, the training data are provided in the form of bags.",are provided in
3408.txt,"Only the label of each bag is known, while the labels of instances in each bag remain unknown.",null
3409.txt,"In recent work, training data with uncertain labels was referred to as weakly labeled data, and those learning problems were uniformly referred to as the weakly labeled learning problem.",was referred to
3410.txt,"A unified approach was proposed in X for solving various learning problems with weakly labeled data including SSL, MIL and clustering, in which they learnt an optimal classifier from all possible labelings of training data.",was proposed in
3411.txt,"However, their work focused on single-view training data.",focused on
3412.txt,"When training data is represented with multiple feature representations, researchers have developed many multi-view learning approaches to improve performance by utilizing information from different views .",improve performance by
3413.txt,Most of those works in multi-view learning were proposed for the multi-view SSL scenario.,were proposed for
3414.txt,"It has been shown that, with multi-view information, the classifiers trained on different views can effectively help each other to better utilize the unlabeled training data.",It has been shown that
3415.txt,"Nevertheless, those works were designed for SSL.",were designed for
3416.txt,"In this paper,we study the learning problem by using weakly labeled training data with multiple views, which is referred to as the multi-view weakly labeled learning problem.",is referred to
3418.txt,"Specifically, we propose a novel colabeling approach for multi-view weakly labeled learning, in which we consider two major challenges: how to effectively exchange information among different views, and how to effectively learn a robust classifier on each view.",null
3419.txt,"In co-training based methods ,the predictions from a classifier trained on one view are used to label the unlabeled samples for training the classifier on the othe view.",are used to
3421.txt,"Moreover, considering that a single pseudolabel vector in the co-training based approach may be sensitive to the threshold, we further propose different strategies to generate multiple pseudo-label vectors by using different biases to enhance the robustness of our co-labeling approach.",null
3422.txt,"To learn the classifier for each view, traditional cotraining based methods used supervised learning approaches by treating single pseudo-label vector as the ground-truth label vector, which may be  sensitive  to  the noise in the pseudo-label vector.",null
3424.txt,"Specifically, as discussed in Section 4, those pseudo-label vectors can be generated from the classifiers on other views, with different biases and from all previous iterations.",as discussed in
3425.txt,"Inspired by recent works in Section 5 we formulate this learning problem as the MKL problem , in which each base kernel is associated with a pseudo-label vector.",is associated with
3426.txt,"Moreover, by observing that these pseudo-label vectors are generated with different strategies, we further develop  a novel multi-layer MKL method to effectively utilize the intrinsic group structure on those base kernels.",null
3427.txt,An efficient alternating optimization algorithm is proposed to solve the  new  multi-layer  MKL  problem  by  using a recursive updating strategy for updating the kernel combination coefficients.,is proposed to
3428.txt,"In Section 6, we conduct extensive experiments for different weakly labeled learning scenarios including multi-view SSL, multi-view MIL, and multi-view ROD, and also provide a detailed experimental analysis.",null
3430.txt,"Beyond our preliminary work, in this paper, we additionally propose a novel multi-layer MKL method to learn a more  robust  classifier  on  each  view.",null
3431.txt,We  also present a theoretical analysis on our co-labeling approach.,null
3433.txt,"In Section 3, we formulate the learning problem on each view as a weakly labeled learning problem  , in which we learn an optimal classifier from a set of pseudo-label vectors and the combination of these pseudo-label vectors to the final classifier is automatically decided by the multiple kernel learning   method.",null
3434.txt,"Specifically, as discussed in Section 4, those pseudo-label vectors can be generated from the classifiers on other views, with different biases and from all previous iterations.",as discussed in
3435.txt,"Inspired by recent works, in Section 5 we formulate this learning problem as the MKL problem, in which each base kernel is associated with a pseudo-label vector.",is associated with
3436.txt,"Moreover, by observing that these pseudo-label vectors are generated with different strategies, we further develop  a novel multi-layer MKL method to effectively utilize the intrinsic group structure on those base kernels.",null
